Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"A BEAR AFFAIR (IRE)",2024,COLT,"KODI BEAR (IRE)","JEANIE B (GB)","Richard Hannon",94,,,,,,,,,,,
"A BOY NAMED MARY (IRE)",2023,GELDING,"SUPREMACY (IRE)","MARY BOLEYN (IRE)",,48,,,,,,,,,,,
"A DAUGHTERS LOVE (GB)",2023,FILLY,"MOHAATHER (GB)","LOVING TOUCH (GB)","David Flood",64,,,,,,,,,,,
"A DEFINITE GETAWAY (IRE)",2018,GELDING,"GETAWAY (GER)","DEF IT VIC (IRE)","Mickey Bowen",,,,,,,113,,,,,
"A DUBLIN JOB (IRE)",2017,GELDING,"ASK (GB)","COPPERVEGA (IRE)","Sarah-Jayne Davies",,,,,,,92,-5,,,,
"A GOOD YOMP (GB)",2019,GELDING,"CLOVIS DU BERLAIS (FR)","MEWSTONE (GB)","Andrew Martin",,,,,,,,,,99,,
"A GREAT EXCUSE (IRE)",2020,GELDING,"LUCKY SPEED (IRE)","BANJO FINN (IRE)",,,,,,,,100,,,,,
"A JET OF OUR OWN (IRE)",2017,GELDING,"JET AWAY (GB)","SATALDA'S LADY (IRE)","Mrs N. Sheppard",,,,,,,115,,,,,
"A KING OF MAGIC (FR)",2021,GELDING,"DESINVOLTE (FR)","KISIS DE LA PREE (FR)","Paul Nicholls",,,,,,,,,,129,,
"A LA NOCHE (IRE)",2021,GELDING,"LOPE DE VEGA (IRE)","MAYHEM (IRE)","Oliver Cole",67,-1,,,,,,,,,,
"A LA PROCHAINE (FR)",2023,FILLY,"LOPE DE VEGA (IRE)","MARGIE'S MUSIC (FR)","Ralph Beckett",101,,,,,,,,,,,
"A LADY FOREVER (GB)",2019,FILLY,"ADAAY (IRE)","LADY FILLY (GB)","Gary Harrison",42,,,,,,,,,,,
"A LITTLE SOMETHING (GB)",2019,FILLY,"DARTMOUTH (GB)","SOMETHINABOUTMOLLY (IRE)","Emma Lavelle",,,,,,,105,,,,,
"A LOTT OF KANE (IRE)",2023,GELDING,"COTAI GLORY (GB)","NORWEGIAN HIGHNESS (FR)","Chelsea Banham",56,,,,,,,,,,,
"A MAJOR PAYNE (GB)",2021,GELDING,"HARRY ANGEL (IRE)","THANKFUL (GB)","Michael Bell",86,,,,,,,,,,,
"A MERE BAGATELLE (IRE)",2017,GELDING,"BORN TO SEA (IRE)","PASSIONFORFASHION (IRE)","James Owen",55,,,,,,101,,,101,,
"A MOMENTS MADNESS (IRE)",2019,GELDING,"CONDUIT (IRE)","MISS SARENNE (FR)","Fergal O'Brien",,,,,,,121,,,,,
"A PAI DE NOM (GB)",2020,GELDING,"PASSING GLANCE (GB)","MIDNIGHT CATARIA (GB)","Dan Skelton",,,,,,,,,,134,,
"A PATH TO RONDA (IRE)",2020,FILLY,"GETAWAY (GER)","DUSTY TOO (GB)","Jamie Snowden",,,,,,,,,,125,,
"A PERFECT DAY (IRE)",2020,GELDING,"WESTERNER (GB)","WYNDHAM ROSE (IRE)","Ben Clarke",,,,,,,,,,123,,
"A PINT OF BEAR (IRE)",2018,GELDING,"KODI BEAR (IRE)","HEART OF AN ANGEL (GB)",,58,,,,,,,,,,,
"A ROSE ADAAY (GB)",2022,FILLY,"ADAAY (IRE)","LA DONACELLA (GB)","Grace Harris",46,-1,,,,,,,,,,
"A TASTE OF GLORY (GER)",2023,COLT,"SOLDIER HOLLOW (GB)","AOTHEA (GER)",,84,,,,,,,,,,,
"A TICKATICKATIMING (GB)",2018,FILLY,"SIXTIES ICON (GB)","HI NOTE (GB)","Sheena West",52,,,,,,,,,88,,
"A WAR EAGLE (IRE)",2022,GELDING,"MAKE BELIEVE (GB)","ROHESIA (GB)","Michael & David Easterby",82,,,,,,,,,,,
"AAJEJ (GB)",2022,GELDING,"MASAR (IRE)","WEST WIND (GB)",,77,,,80,,,,,,,,
"AALTO (FR)",2020,GELDING,"ZELZAL (FR)","AU DESSUS (GB)","Ian Williams",90,,,,,,,,,,,
"ABANDO (GER)",2022,GELDING,"ADLERFLUG (GER)","AMALIE (GER)",,68,,,,,,,,,,,
"ABASHIRI (GB)",2023,FILLY,"FRANKEL (GB)","SOBETSU (GB)","Charlie Appleby",109,,,,,,,,,,,
"ABATE (GB)",2016,GELDING,"BATED BREATH (GB)","RED KYTE (GB)",,72,,,,,,,,,,,
"ABBEY LAW (GB)",2021,FILLY,"ROYAL APPLAUSE (GB)","BRUNTON BLUE (GB)",,,,,,,,,,,79,,
"ABBEY SCOPE (GB)",2020,GELDING,"TELESCOPE (IRE)","BROCKWELL ABBEY (GB)","Nicky Richards",,,,,,,,,,121,,
"ABDUCTION (FR)",2018,GELDING,"ACCLAMATION (GB)","PERFECT DAY (IRE)","Jim Goldie",74,,,,,,,,,,,
"ABERAMA GOLD (GB)",2017,GELDING,"HEERAAT (IRE)","NIGELLA (GB)","David O'Meara",77,,,,,,,,,,,
"ABILA (FR)",2022,FILLY,"CAMELOT (GB)","FAST GAME (FR)","Ian Williams",47,,,,,,,,,,,
"ABINGWORTH (GB)",2018,GELDING,"KAPGARDE (FR)","FLUTE BOWL (GB)",,77,,,,,,109,,,,,
